region_id,state,country,market,region
6554431,Lagos,Nigeria,Africa,Africa
6554432,Mono,Benin,Africa,Africa
6554433,Nairobi,Kenya,Africa,Africa
6554434,Quebec,Canada,Canada,Canada
6554435,Southern,Zambia,Africa,Africa
6554436,Bie,Angola,Africa,Africa
6554437,Ontario,Canada,Canada,Canada
6554438,Bechar,Algeria,Africa,Africa
6554439,Volyn,Ukraine,EMEA,EMEA
6554440,Šiauliai,Lithuania,EMEA,EMEA
6554441,Alger,Algeria,Africa,Africa
6554442,Anambra,Nigeria,Africa,Africa
6554443,Abia,Nigeria,Africa,Africa
6554444,Bishkek,Kyrgyzstan,EMEA,EMEA
6554445,Banghazi,Libya,Africa,Africa
6554446,L'viv,Ukraine,EMEA,EMEA
6554447,Rabat-Salé-Zemmour-Zaer,Morocco,Africa,Africa
6554448,Eastern Cape,South Africa,Africa,Africa
6554449,Enugu,Nigeria,Africa,Africa
6554450,Ninawa,Iraq,EMEA,EMEA
6554451,Washington,United States,US,West
6554452,Sicily,Italy,EU,South
6554453,Veneto,Italy,EU,South
6554454,São Paulo,Brazil,LATAM,South
6554455,Guatemala,Guatemala,LATAM,Central
6554456,North Rhine-Westphalia,Germany,EU,Central
6554457,Hubei,China,APAC,North Asia
6554458,North Brabant,Netherlands,EU,Central
6554459,Santa Catarina,Brazil,LATAM,South
6554460,Nord-Pas-de-Calais,France,EU,Central
6554461,Provence-Alpes-Côte d'Azur,France,EU,Central
6554462,León,Nicaragua,EU,North
6554463,Dà Nang,Vietnam,APAC,Southeast Asia
6554464,Saarland,Germany,EU,Central
6554465,Sumatera Selatan,Indonesia,APAC,Southeast Asia
6554466,Karnataka,India,APAC,Central Asia
6554467,San Salvador,El Salvador,LATAM,Central
6554468,Singapore,Singapore,APAC,Southeast Asia
6554469,Bali,Indonesia,APAC,Southeast Asia
6554470,Liaoning,China,APAC,North Asia
6554471,Virginia,United States,US,South
6554472,Choluteca,Honduras,LATAM,Central
6554473,Antioquia,Colombia,LATAM,South
6554474,New Hampshire,United States,US,East
6554475,Shanxi,China,APAC,North Asia
6554476,Auckland,New Zealand,APAC,Oceania
6554477,North Holland,Netherlands,EU,Central
6554478,La Libertad,El Salvador,LATAM,Central
6554479,Magdalena,Colombia,LATAM,South
6554480,Oslo,Norway,EU,North
6554481,Indiana,United States,US,Central
6554482,Chiriquí,Panama,LATAM,Central
6554483,Puebla,Mexico,LATAM,North
6554484,Kerala,India,APAC,Central Asia
6554485,Lower Saxony,Germany,EU,Central
6554486,Puno,Peru,LATAM,South
6554487,Australian Capital Territory,Australia,APAC,Oceania
6554488,Francisco Morazán,Honduras,LATAM,Central
6554489,Pernambuco,Brazil,LATAM,South
6554490,San Luis Potosí,Mexico,LATAM,North
6554491,Norte de Santander,Colombia,LATAM,South
6554492,Andalusía,Spain,EU,South
6554493,Illinois,United States,US,Central
6554494,La Rioja,Argentina,LATAM,South
6554495,Dublin,Ireland,EU,North
6554496,Managua,Nicaragua,APAC,Central
6554497,Catalonia,Spain,EU,South
6554498,Daegu,South Korea,APAC,North Asia
6554499,Cuscatlán,El Salvador,LATAM,Central
6554500,Yucatán,Mexico,LATAM,North
6554501,Zhejiang,China,APAC,North Asia
6554502,Poitou-Charentes,France,EU,Central
6554503,Aragua,Venezuela,LATAM,South
6554504,Colorado,United States,US,West
6554505,Las Tunas,Cuba,LATAM,Caribbean
6554506,Baden-Württemberg,Germany,EU,Central
6554507,Ohio,United States,US,East
6554508,Cienfuegos,Cuba,LATAM,Caribbean
6554509,Bahia,Brazil,LATAM,South
6554510,Saxony-Anhalt,Germany,EU,Central
6554511,Madhya Pradesh,India,APAC,Central Asia
6554512,Lower Normandy,France,EU,Central
6554513,Thủ Dô Hà Nội,Vietnam,APAC,Southeast Asia
6554514,Goiás,Brazil,LATAM,South
6554515,Lazio,Italy,EU,South
6554516,Mississippi,United States,US,South
6554517,San Pedro de Macorís,Dominican Republic,LATAM,Caribbean
6554518,Fujian,China,APAC,North Asia
6554519,Languedoc-Roussillon,France,EU,Central
6554520,New Mexico,United States,US,West
6554521,Holguín,Cuba,LATAM,Caribbean
6554522,Eastern,Ghana,Africa,Africa
6554523,Vinnytsya,Ukraine,EMEA,EMEA
6554524,Kharkiv,Ukraine,EMEA,EMEA
6554525,Orientale,Democratic Republic of the Congo,Africa,Africa
6554526,Usti nad Labem,Czech Republic,EMEA,EMEA
6554527,Inner Mongolia,China,APAC,North Asia
6554528,Phnom Penh,Cambodia,APAC,Southeast Asia
6554529,Bavaria,Germany,EU,Central
6554530,Atlántico,Colombia,LATAM,South
6554531,Lisboa,Portugal,EU,South
6554532,Kalimantan Selatan,Indonesia,APAC,Southeast Asia
6554533,Punjab,Pakistan,APAC,Central Asia
6554534,Mykolayiv,Ukraine,EMEA,EMEA
6554535,Copperbelt,Zambia,Africa,Africa
6554536,Qom,Iran,EMEA,EMEA
6554537,Zaporizhzhya,Ukraine,EMEA,EMEA
6554538,Centre,Cameroon,Africa,Africa
6554539,Khuzestan,Iran,EMEA,EMEA
6554540,Fars,Iran,EMEA,EMEA
6554541,Podlaskie,Poland,EMEA,EMEA
6554542,Masovia,Poland,EMEA,EMEA
6554543,Izmir,Turkey,EMEA,EMEA
6554544,Niamey,Niger,Africa,Africa
6554545,Adana,Turkey,EMEA,EMEA
6554546,Western Cape,South Africa,Africa,Africa
6554547,Istanbul,Turkey,EMEA,EMEA
6554548,Ashanti,Ghana,Africa,Africa
6554549,Grand Casablanca,Morocco,Africa,Africa
6554550,Kinshasa,Democratic Republic of the Congo,Africa,Africa
6554551,Sistan Va Baluchestan,Iran,EMEA,EMEA
6554552,Mehedinti,Romania,EMEA,EMEA
6554553,Diyala,Iraq,EMEA,EMEA
6554554,Marrakech-Tensift-El Haouz,Morocco,Africa,Africa
6554555,Harare,Zimbabwe,Africa,Africa
6554556,Baghdad,Iraq,EMEA,EMEA
6554557,Kaunas,Lithuania,EMEA,EMEA
6554558,Harjumaa,Estonia,EMEA,EMEA
6554559,Silesia,Poland,EMEA,EMEA
6554560,Maritime,Togo,Africa,Africa
6554561,Alagoas,Brazil,LATAM,South
6554562,Villa Clara,Cuba,LATAM,Caribbean
6554563,Castile and León,Spain,EU,South
6554564,Mecklenburg-Vorpommern,Germany,EU,Central
6554565,Bremen,Germany,EU,Central
6554566,Guangxi,China,APAC,North Asia
6554567,Yunnan,China,APAC,North Asia
6554568,Tamaulipas,Mexico,LATAM,North
6554569,Tasmania,Australia,APAC,Oceania
6554570,Florida,United States,US,South
6554571,Sulawesi Tengah,Indonesia,APAC,Southeast Asia
6554572,Jharkhand,India,APAC,Central Asia
6554573,Bolivar,Venezuela,LATAM,South
6554574,La Vega,Dominican Republic,LATAM,Caribbean
6554575,Louisiana,United States,US,South
6554576,Chimaltenango,Guatemala,LATAM,Central
6554577,Peravia,Dominican Republic,LATAM,Caribbean
6554578,Jawa Barat,Indonesia,APAC,Southeast Asia
6554579,Veracruz,Mexico,LATAM,North
6554580,Canterbury,New Zealand,APAC,Oceania
6554581,West Bengal,India,APAC,Central Asia
6554582,Punjab,India,APAC,Central Asia
6554583,Miranda,Venezuela,LATAM,South
6554584,Jiangsu,China,APAC,North Asia
6554585,Rajasthan,India,APAC,Central Asia
6554586,Stockholm,Sweden,EU,North
6554587,Tuscany,Italy,EU,South
6554588,Buenos Aires,Argentina,LATAM,South
6554589,Hunan,China,APAC,North Asia
6554590,Rio de Janeiro,Brazil,LATAM,South
6554591,Daejeon,South Korea,APAC,North Asia
6554592,Västra Götaland,Sweden,EU,North
6554593,Limousin,France,EU,Central
6554594,Tỉnh Cần Thơ,Vietnam,APAC,Southeast Asia
6554596,Ouest,Cameroon,Africa,Africa
6554597,Al Basrah,Iraq,EMEA,EMEA
6554598,Kwazulu-natal,South Africa,Africa,Africa
6554599,Manisa,Turkey,EMEA,EMEA
6554600,Djelfa,Algeria,Africa,Africa
6554601,Al Iskandariyah,Egypt,Africa,Africa
6554602,Saskatchewan,Canada,Canada,Canada
6554603,Greater Accra,Ghana,Africa,Africa
6554604,Gauteng,South Africa,Africa,Africa
6554605,Ar Riyad,Saudi Arabia,EMEA,EMEA
6554606,Qostanay,Kazakhstan,EMEA,EMEA
6554607,Luhans'k,Ukraine,EMEA,EMEA
6554608,Banaadir,Somalia,Africa,Africa
6554609,Bauchi,Nigeria,Africa,Africa
6554610,Vienna,Austria,EMEA,EMEA
6554611,Tel Aviv,Israel,EMEA,EMEA
6554612,Dolj,Romania,EMEA,EMEA
6554613,Chaouia-Ouardigha,Morocco,Africa,Africa
6554614,Al Qahirah,Egypt,Africa,Africa
6554615,Amazonas,Brazil,LATAM,South
6554616,Centre,France,EU,Central
6554617,Western Australia,Australia,APAC,Oceania
6554618,Guanajuato,Mexico,LATAM,North
6554619,Shandong,China,APAC,North Asia
6554620,Henan,China,APAC,North Asia
6554621,Delhi,India,APAC,Central Asia
6554622,Montana,United States,US,West
6554623,Granma,Cuba,LATAM,Caribbean
6554624,Tokyo,Japan,APAC,North Asia
6554625,Elazig,Turkey,EMEA,EMEA
6554626,East Flanders,Belgium,EU,Central
6554627,Hovedstaden,Denmark,EU,North
6554628,Saint Michael,Barbados,LATAM,Caribbean
6554629,Parana,Brazil,LATAM,South
6554630,Santiago,Chile,LATAM,South
6554631,Busan,South Korea,APAC,North Asia
6554632,New Jersey,United States,US,East
6554633,O'Higgins,Chile,LATAM,South
6554634,Bogota,Colombia,LATAM,South
6554635,Sindh,Pakistan,APAC,Central Asia
6554636,Bihar,India,APAC,Central Asia
6554637,Hebei,China,APAC,North Asia
6554638,Salta,Argentina,LATAM,South
6554639,Martinique,Martinique,LATAM,Caribbean
6554640,Kalimantan Barat,Indonesia,APAC,Southeast Asia
6554641,Chihuahua,Mexico,LATAM,North
6554642,Anhui,China,APAC,North Asia
6554643,Tyrol,Austria,EU,Central
6554644,Guantánamo,Cuba,LATAM,Caribbean
6554645,South Holland,Netherlands,EU,Central
6554646,Santiago,Dominican Republic,LATAM,Caribbean
6554647,South Kivu,Democratic Republic of the Congo,Africa,Africa
6554648,Razavi Khorasan,Iran,EMEA,EMEA
6554649,Kilimanjaro,Tanzania,Africa,Africa
6554650,Zhambyl,Kazakhstan,EMEA,EMEA
6554651,Buzau,Romania,EMEA,EMEA
6554652,Kiên Giang,Vietnam,APAC,Southeast Asia
6554653,Utah,United States,US,West
6554654,Guangdong,China,APAC,North Asia
6554655,Rio Grande do Sul,Brazil,LATAM,South
6554656,Northland,New Zealand,APAC,Oceania
6554657,San Juan,Argentina,LATAM,South
6554658,Alsace,France,EU,Central
6554659,Cortés,Honduras,LATAM,Central
6554660,Gansu,China,APAC,North Asia
6554661,Estelí,Nicaragua,APAC,Central
6554662,Mato Grosso,Brazil,LATAM,South
6554663,Friuli-Venezia Giulia,Italy,EU,South
6554664,Nevada,United States,US,West
6554665,Calabarzon,Philippines,APAC,Southeast Asia
6554666,Durango,Mexico,LATAM,North
6554667,Artibonite,Haiti,LATAM,Caribbean
6554668,Matanzas,Cuba,LATAM,Caribbean
6554669,Taranaki,New Zealand,APAC,Oceania
6554670,Rhineland-Palatinate,Germany,EU,Central
6554671,Finland Proper,Finland,EU,North
6554672,Zulia,Venezuela,LATAM,South
6554673,Jambi,Indonesia,APAC,Southeast Asia
6554674,Maranhão,Brazil,LATAM,South
6554675,Escuintla,Guatemala,LATAM,Central
6554676,Emilia-Romagna,Italy,EU,South
6554677,Calabria,Italy,EU,South
6554678,Sardinia,Italy,EU,South
6554679,Abruzzi,Italy,EU,South
6554680,Andhra Pradesh,India,APAC,Central Asia
6554681,Pará,Brazil,LATAM,South
6554682,Lorraine,France,EU,Central
6554683,Wisconsin,United States,US,Central
6554684,Tocantins,Brazil,LATAM,South
6554685,Montevideo,Uruguay,LATAM,South
6554686,Piedmont,Italy,EU,South
6554687,Paraíba,Brazil,LATAM,South
6554688,Est,Cameroon,Africa,Africa
6554689,Cidade De Maputo,Mozambique,Africa,Africa
6554690,British Columbia,Canada,Canada,Canada
6554691,Northern,Ghana,Africa,Africa
6554692,Prague,Czech Republic,EMEA,EMEA
6554693,Sanliurfa,Turkey,EMEA,EMEA
6554694,Maputo,Mozambique,Africa,Africa
6554695,'Amman,Jordan,EMEA,EMEA
6554696,Antalya,Turkey,EMEA,EMEA
6554697,Oyo,Nigeria,Africa,Africa
6554698,Ondo,Nigeria,Africa,Africa
6554699,Kassala,Sudan,Africa,Africa
6554700,Dar Es Salaam,Tanzania,Africa,Africa
6554701,Tanger-Tétouan,Morocco,Africa,Africa
6554702,Gulu,Uganda,Africa,Africa
6554703,Southern,Rwanda,Africa,Africa
6554704,Kayseri,Turkey,EMEA,EMEA
6554705,Khomas,Namibia,Africa,Africa
6554706,Alberta,Canada,Canada,Canada
6554707,Dakar,Senegal,Africa,Africa
6554708,Mersin,Turkey,EMEA,EMEA
6554709,Kano,Nigeria,Africa,Africa
6554710,Coast,Kenya,Africa,Africa
6554711,Ardabil,Iran,EMEA,EMEA
6554712,Ruvuma,Tanzania,Africa,Africa
6554713,Akwa Ibom,Nigeria,Africa,Africa
6554714,Khmel'nyts'kyy,Ukraine,EMEA,EMEA
6554715,Zambezia,Mozambique,Africa,Africa
6554716,Ivanovo,Russia,EMEA,EMEA
6554717,Kampala,Uganda,Africa,Africa
6554718,Adamaoua,Cameroon,Africa,Africa
6554719,Mostaganem,Algeria,Africa,Africa
6554720,Delta,Nigeria,Africa,Africa
6554721,Chongqing,China,APAC,North Asia
6554722,Yogyakarta,Indonesia,APAC,Southeast Asia
6554723,Mie,Japan,APAC,North Asia
6554724,Huehuetenango,Guatemala,LATAM,Central
6554725,San Luis,Argentina,LATAM,South
6554726,Haryana,India,APAC,Central Asia
6554727,Namur,Belgium,EU,Central
6554728,Brittany,France,EU,Central
6554729,West Flanders,Belgium,EU,Central
6554730,Utrecht,Netherlands,EU,Central
6554731,Quintana Roo,Mexico,LATAM,North
6554732,Santiago de Cuba,Cuba,LATAM,Caribbean
6554733,Trentino-Alto Adige,Italy,EU,South
6554734,Assam,India,APAC,Central Asia
6554735,Limburg,Belgium,EU,Central
6554736,Chaco,Argentina,LATAM,South
6554737,Thuringia,Germany,EU,Central
6554738,La Romana,Dominican Republic,LATAM,Caribbean
6554739,Federal District,Brazil,LATAM,South
6554740,Alabama,United States,US,South
6554741,Heilongjiang,China,APAC,North Asia
6554742,Minas Gerais,Brazil,LATAM,South
6554743,Brandenburg,Germany,EU,Central
6554744,Hyogo,Japan,APAC,North Asia
6554745,Kalimantan Timur,Indonesia,APAC,Southeast Asia
6554746,Uttarakhand,India,APAC,Central Asia
6554748,Valenciana,Spain,EU,South
6554749,Pavlodar,Kazakhstan,EMEA,EMEA
6554750,Nitra,Slovakia,EMEA,EMEA
6554751,Ad Dawhah,Qatar,EMEA,EMEA
6554752,Katanga,Democratic Republic of the Congo,Africa,Africa
6554753,Pazardzhik,Bulgaria,EMEA,EMEA
6554754,Rivers,Nigeria,Africa,Africa
6554755,Pomerania,Poland,EMEA,EMEA
6554756,Rift Valley,Kenya,Africa,Africa
6554757,Dayr Az Zawr,Syria,EMEA,EMEA
6554758,Hamadan,Iran,EMEA,EMEA
6554759,Van,Turkey,EMEA,EMEA
6554760,Nouakchott,Mauritania,Africa,Africa
6554761,Luanda,Angola,Africa,Africa
6554762,Bulawayo,Zimbabwe,Africa,Africa
6554763,Gharb-Chrarda-Béni Hssen,Morocco,Africa,Africa
6554764,Oran,Algeria,Africa,Africa
6554765,Lorestan,Iran,EMEA,EMEA
6554766,Nord,Cameroon,Africa,Africa
6554767,Fès-Boulemane,Morocco,Africa,Africa
6554768,Voronezh,Russia,EMEA,EMEA
6554769,Kahramanmaras,Turkey,EMEA,EMEA
6554770,Timis,Romania,EMEA,EMEA
6554771,Rio Grande do Norte,Brazil,LATAM,South
6554772,Maryland,United States,US,East
6554773,Basque Country,Spain,EU,South
6554774,Hamburg,Germany,EU,Central
6554775,Tianjin,China,APAC,North Asia
6554776,Puducherry,India,APAC,Central Asia
6554777,Cojedes,Venezuela,LATAM,South
6554778,Batna,Algeria,Africa,Africa
6554779,Jerusalem,Israel,EMEA,EMEA
6554780,Astrakhan',Russia,EMEA,EMEA
6554781,Tehran,Iran,EMEA,EMEA
6554782,Borno,Nigeria,Africa,Africa
6554783,Al Minya,Egypt,Africa,Africa
6554784,Eskisehir,Turkey,EMEA,EMEA
6554785,Khartoum,Sudan,Africa,Africa
6554786,Lesser Poland,Poland,EMEA,EMEA
6554787,Sumy,Ukraine,EMEA,EMEA
6554788,Huambo,Angola,Africa,Africa
6554789,Saint-Louis,Senegal,Africa,Africa
6554790,Dire Dawa,Ethiopia,Africa,Africa
6554791,Kasai-Occidental,Democratic Republic of the Congo,Africa,Africa
6554792,Denizli,Turkey,EMEA,EMEA
6554793,Sabah,Malaysia,APAC,Southeast Asia
6554794,Kanagawa,Japan,APAC,North Asia
6554795,Shanghai,China,APAC,North Asia
6554796,Sonsonate,El Salvador,LATAM,Central
6554797,Ho Chí Minh City,Vietnam,APAC,Southeast Asia
6554798,Zürich,Switzerland,EU,Central
6554799,Otago,New Zealand,APAC,Oceania
6554800,Ulaanbaatar,Mongolia,EMEA,EMEA
6554801,Homyel',Belarus,EMEA,EMEA
6554802,Lagunes,Cote d'Ivoire,Africa,Africa
6554803,Riau,Indonesia,APAC,Southeast Asia
6554804,Gyeonggi,South Korea,APAC,North Asia
6554805,Niger,Nigeria,Africa,Africa
6554806,Hawke's Bay,New Zealand,APAC,Oceania
6554807,Upper Normandy,France,EU,Central
6554808,Manawatu-Wanganui,New Zealand,APAC,Oceania
6554809,South Carolina,United States,US,South
6554810,Sichuan,China,APAC,North Asia
6554811,Hajdu-Bihar,Hungary,EMEA,EMEA
6554812,Chisinau,Moldova,EMEA,EMEA
6554813,Sergipe,Brazil,LATAM,South
6554814,Chhattisgarh,India,APAC,Central Asia
6554815,Castile-La Mancha,Spain,EU,South
6554816,Kymenlaakso,Finland,EU,North
6554817,South Denmark,Denmark,EU,North
6554818,Córdoba,Argentina,LATAM,South
6554819,Valparaíso,Chile,LATAM,South
6554820,Rogaland,Norway,EU,North
6554821,Yangon,Myanmar (Burma),APAC,Southeast Asia
6554822,Dhaka,Bangladesh,APAC,Central Asia
6554823,Uusimaa,Finland,EU,North
6554824,Santa Ana,El Salvador,LATAM,Central
6554825,Yoro,Honduras,LATAM,Central
6554826,Marche,Italy,EU,South
6554827,Pinar del Río,Cuba,LATAM,Caribbean
6554828,Irkutsk,Russia,EMEA,EMEA
6554829,Kigali,Rwanda,Africa,Africa
6554830,Constantine,Algeria,Africa,Africa
6554831,Gaziantep,Turkey,EMEA,EMEA
6554832,Budapest,Hungary,EMEA,EMEA
6554833,Hormozgan,Iran,EMEA,EMEA
6554834,Donetsk,Ukraine,EMEA,EMEA
6554835,Yazd,Iran,EMEA,EMEA
6554836,Bashkortostan,Russia,EMEA,EMEA
6554837,Babil,Iraq,EMEA,EMEA
6554838,Kayes,Mali,Africa,Africa
6554839,Lubusz,Poland,EMEA,EMEA
6554840,Extreme-Nord,Cameroon,Africa,Africa
6554841,Maniema,Democratic Republic of the Congo,Africa,Africa
6554842,Klaipeda,Lithuania,EMEA,EMEA
6554843,Ash Sharqiyah,Saudi Arabia,EMEA,EMEA
6554844,Chelyabinsk,Russia,EMEA,EMEA
6554845,Basel-Stadt,Switzerland,EU,Central
6554846,Liguria,Italy,EU,South
6554847,Huila,Colombia,LATAM,South
6554848,Acre,Brazil,LATAM,South
6554849,Lima,Peru,LATAM,South
6554850,Beijing,China,APAC,North Asia
6554851,Overijssel,Netherlands,EU,Central
6554852,Picardy,France,EU,Central
6554853,F.C.T.,Pakistan,APAC,Central Asia
6554854,Shaanxi,China,APAC,North Asia
6554855,Sucre,Venezuela,LATAM,South
6554856,Khulna,Bangladesh,APAC,Central Asia
6554857,Rondônia,Brazil,LATAM,South
6554858,Upper Austria,Austria,EU,Central
6554859,Jammu and Kashmir,India,APAC,Central Asia
6554860,Bay of Plenty,New Zealand,APAC,Oceania
6554861,Mazandaran,Iran,EMEA,EMEA
6554862,Southern,Israel,EMEA,EMEA
6554863,Al Qadisiyah,Iraq,EMEA,EMEA
6554864,Semnan,Iran,EMEA,EMEA
6554865,Littoral,Benin,Africa,Africa
6554866,Markazi,Iran,EMEA,EMEA
6554867,Plovdiv,Bulgaria,EMEA,EMEA
6554868,Kaliningrad,Russia,EMEA,EMEA
6554869,Littoral,Cameroon,Africa,Africa
6554870,Al Gharbiyah,Egypt,Africa,Africa
6554871,Manica,Mozambique,Africa,Africa
6554872,Kasai-Oriental,Democratic Republic of the Congo,Africa,Africa
6554873,Ordu,Turkey,EMEA,EMEA
6554874,Almaty City,Kazakhstan,EMEA,EMEA
6554875,Atakora,Benin,Africa,Africa
6554876,Salzburg,Austria,EU,Central
6554877,Limburg,Netherlands,EU,Central
6554878,Anzoátegui,Venezuela,LATAM,South
6554879,Chiapas,Mexico,LATAM,North
6554880,Tabasco,Mexico,LATAM,North
6554881,Amapá,Brazil,LATAM,South
6554882,Ciego de Ávila,Cuba,LATAM,Caribbean
6554883,Galati,Romania,EMEA,EMEA
6554884,Zacatecas,Mexico,LATAM,North
6554885,Wales,United Kingdom,EU,North
6554886,Hims,Syria,EMEA,EMEA
6554887,Kermanshah,Iran,EMEA,EMEA
6554888,Arbil,Iraq,EMEA,EMEA
6554889,Souss-Massa-Draâ,Morocco,Africa,Africa
6554890,Jilin,China,APAC,North Asia
6554891,Sylhet,Bangladesh,APAC,Central Asia
6554892,Shizuoka,Japan,APAC,North Asia
6554893,Free State,South Africa,Africa,Africa
6554894,Diffa,Niger,Africa,Africa
6554895,Trabzon,Turkey,EMEA,EMEA
6554896,Nampula,Mozambique,Africa,Africa
6554897,Benguela,Angola,Africa,Africa
6554898,Bamako,Mali,Africa,Africa
6554899,Atlántida,Honduras,LATAM,Central
6554900,Barahona,Dominican Republic,LATAM,Caribbean
6554901,Cochabamba,Bolivia,LATAM,South
6554902,National Capital,Papua New Guinea,APAC,Oceania
6554903,Negeri Sembilan,Malaysia,APAC,Southeast Asia
6554904,Cesar,Colombia,LATAM,South
6554905,Hesse,Germany,EU,Central
6554906,Nyanza,Kenya,Africa,Africa
6554907,Prahova,Romania,EMEA,EMEA
6554908,Bolu,Turkey,EMEA,EMEA
6554909,Red Sea,Sudan,Africa,Africa
6554910,Mendoza,Argentina,LATAM,South
6554911,Burgundy,France,EU,Central
6554912,Hainaut,Belgium,EU,Central
6554913,Caldas,Colombia,LATAM,South
6554914,Ceuta,Spain,EU,South
6554915,Drenthe,Netherlands,EU,Central
6554916,Tottori,Japan,APAC,North Asia
6554917,Kuala Lumpur,Malaysia,APAC,Southeast Asia
6554918,Umbria,Italy,EU,South
6554919,Hirat,Afghanistan,APAC,Central Asia
6554920,Maluku,Indonesia,APAC,Southeast Asia
6554921,Gelderland,Netherlands,EU,Central
6554922,Duarte,Dominican Republic,LATAM,Caribbean
6554923,Southland,New Zealand,APAC,Oceania
6554924,Quezaltenango,Guatemala,LATAM,Central
6554925,Guayas,Ecuador,LATAM,South
6554926,Lara,Venezuela,LATAM,South
6554927,Lublin,Poland,EMEA,EMEA
6554928,Kerman,Iran,EMEA,EMEA
6554929,Qaraghandy,Kazakhstan,EMEA,EMEA
6554930,Medea,Algeria,Africa,Africa
6554931,Niassa,Mozambique,Africa,Africa
6554932,Sofiya-Grad,Bulgaria,EMEA,EMEA
6554933,Corum,Turkey,EMEA,EMEA
6554934,Ogun,Nigeria,Africa,Africa
6554935,Mwanza,Tanzania,Africa,Africa
6554936,Esfahan,Iran,EMEA,EMEA
6554937,Maysan,Iraq,EMEA,EMEA
6554938,Kwara,Nigeria,Africa,Africa
6554939,Grad Zagreb,Croatia,EMEA,EMEA
6554940,Antwerp,Belgium,EU,Central
6554941,Santa Cruz,Bolivia,LATAM,South
6554942,Santander,Colombia,LATAM,South
6554943,Trengganu,Malaysia,APAC,Southeast Asia
6554944,Cordillera,Philippines,APAC,Southeast Asia
6554945,Aomori,Japan,APAC,North Asia
6554946,Iowa,United States,US,Central
6554947,Sancti Spíritus,Cuba,LATAM,Caribbean
6554948,Kansas,United States,US,Central
