Product_ID,Category,Sub-Category,Product_Name
OFF/ART-001123,Office Supplies,Art,"Binney & Smith Sketch Pad, Blue"
FUR/BOO-000075,Furniture,Bookcases,"Ikea Classic Bookcase, Pine"
OFF/BIN-001416,Office Supplies,Binders,"Avery Index Tab, Economy"
TEC/MAC-003438,Technology,Machines,"Panasonic Inkjet, White"
FUR/FUR-000566,Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock"
OFF/BIN-001352,Office Supplies,Binders,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1"""
OFF/BIN-001414,Office Supplies,Binders,"Avery Index Tab, Clear"
OFF/LAB-002118,Office Supplies,Labels,"Smead Removable Labels, Adjustable"
TEC/ACC-002944,Technology,Accessories,"Belkin Numeric Keypad, USB"
TEC/PHO-003506,Technology,Phones,"Apple Headset, Full Size"
TEC/PHO-003659,Technology,Phones,"Motorola Signal Booster, Full Size"
OFF/FAS-001924,Office Supplies,Fasteners,"Stockwell Push Pins, 12 Pack"
OFF/PAP-002217,Office Supplies,Paper,"Green Bar Memo Slips, Premium"
OFF/STO-002620,Office Supplies,Storage,"Fellowes Trays, Blue"
OFF/FAS-001933,Office Supplies,Fasteners,"Stockwell Staples, Assorted Sizes"
OFF/LAB-002057,Office Supplies,Labels,"Hon File Folder Labels, Alphabetical"
TEC/PHO-003691,Technology,Phones,"Nokia Smart Phone, with Caller ID"
FUR/BOO-000088,Furniture,Bookcases,"Ikea Library with Doors, Traditional"
OFF/BIN-001383,Office Supplies,Binders,"Avery Binder Covers, Clear"
OFF/ENV-001706,Office Supplies,Envelopes,"Cameo Mailers, with clear poly window"
OFF/PAP-002172,Office Supplies,Paper,"Eaton Note Cards, Premium"
OFF/ART-001287,Office Supplies,Art,"Sanford Pencil Sharpener, Fluorescent"
OFF/ART-001290,Office Supplies,Art,"Sanford Pens, Easy-Erase"
OFF/PAP-002270,Office Supplies,Paper,"SanDisk Message Books, Recycled"
TEC/COP-003227,Technology,Copiers,"Canon Ink, Laser"
TEC/MAC-003345,Technology,Machines,"Epson Phone, Red"
TEC/MAC-003461,Technology,Machines,"StarTech Calculator, Red"
OFF/STO-002593,Office Supplies,Storage,"Fellowes File Cart, Blue"
TEC/COP-003311,Technology,Copiers,"Sharp Wireless Fax, Digital"
OFF/ART-001204,Office Supplies,Art,Newell 312
TEC/ACC-003098,Technology,Accessories,Memorex Micro Travel Drive 8 GB
OFF/STO-002614,Office Supplies,Storage,"Fellowes Shelving, Wire Frame"
OFF/SUP-002827,Office Supplies,Supplies,"Elite Scissors, Easy Grip"
OFF/BIN-001386,Office Supplies,Binders,"Avery Binder Covers, Recycled"
OFF/SUP-002878,Office Supplies,Supplies,"Kleencut Ruler, Steel"
OFF/BIN-001340,Office Supplies,Binders,"Acco Binder, Durable"
FUR/TAB-000771,Furniture,Tables,"Chromcraft Wood Table, Fully Assembled"
OFF/APP-000998,Office Supplies,Appliances,"Hoover Microwave, Red"
FUR/FUR-000559,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock"
OFF/LAB-001956,Office Supplies,Labels,Avery 482
FUR/BOO-000121,Furniture,Bookcases,"Safco Floating Shelf Set, Metal"
FUR/TAB-000729,Furniture,Tables,"Bevis Training Table, with Bottom Storage"
OFF/LAB-002080,Office Supplies,Labels,"Novimex File Folder Labels, Alphabetical"
FUR/FUR-000380,Furniture,Furnishings,"Advantus Clock, Black"
OFF/ART-001268,Office Supplies,Art,"Sanford Canvas, Easy-Erase"
TEC/PHO-003502,Technology,Phones,"Apple Audio Dock, VoIP"
FUR/FUR-000492,Furniture,Furnishings,"Eldon Door Stop, Durable"
OFF/BIN-001553,Office Supplies,Binders,"Ibico Hole Reinforcements, Recycled"
OFF/ART-001140,Office Supplies,Art,"Boston Canvas, Fluorescent"
OFF/STO-002716,Office Supplies,Storage,"Smead Trays, Single Width"
FUR/BOO-000055,Furniture,Bookcases,"Dania Floating Shelf Set, Traditional"
OFF/APP-001029,Office Supplies,Appliances,"KitchenAid Coffee Grinder, Black"
OFF/STO-002706,Office Supplies,Storage,"Smead Lockers, Blue"
TEC/PHO-003507,Technology,Phones,"Apple Headset, VoIP"
FUR/CHA-000354,Furniture,Chairs,"SAFCO Executive Leather Armchair, Red"
OFF/ART-001099,Office Supplies,Art,"Binney & Smith Canvas, Blue"
FUR/FUR-000610,Furniture,Furnishings,"Rubbermaid Photo Frame, Duo Pack"
TEC/COP-003310,Technology,Copiers,"Sharp Wireless Fax, Color"
OFF/ENV-001729,Office Supplies,Envelopes,"GlobeWeis Interoffice Envelope, Set of 50"
FUR/CHA-000242,Furniture,Chairs,"Hon Chairmat, Adjustable"
OFF/PAP-002224,Office Supplies,Paper,"Green Bar Note Cards, Multicolor"
FUR/BOO-000092,Furniture,Bookcases,"Ikea Stackable Bookrack, Traditional"
OFF/BIN-001555,Office Supplies,Binders,"Ibico Index Tab, Clear"
TEC/MAC-003350,Technology,Machines,"Epson Printer, White"
OFF/FAS-001863,Office Supplies,Fasteners,"Advantus Staples, 12 Pack"
OFF/LAB-002015,Office Supplies,Labels,"Avery Removable Labels, Alphabetical"
OFF/STO-002600,Office Supplies,Storage,"Fellowes Folders, Wire Frame"
OFF/STO-002621,Office Supplies,Storage,"Fellowes Trays, Industrial"
OFF/SUP-002875,Office Supplies,Supplies,"Kleencut Ruler, Easy Grip"
FUR/FUR-000435,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back"
TEC/ACC-003050,Technology,Accessories,"Logitech Router, USB"
TEC/MAC-003470,Technology,Machines,"StarTech Inkjet, Wireless"
OFF/LAB-002037,Office Supplies,Labels,"Harbour Creations Legal Exhibit Labels, Adjustable"
OFF/BIN-001638,Office Supplies,Binders,"Wilson Jones Hole Reinforcements, Durable"
OFF/LAB-002039,Office Supplies,Labels,"Harbour Creations Legal Exhibit Labels, Laser Printer Compatible"
OFF/PAP-002207,Office Supplies,Paper,"Green Bar Cards & Envelopes, Multicolor"
OFF/SUP-002826,Office Supplies,Supplies,"Elite Ruler, Steel"
OFF/STO-002590,Office Supplies,Storage,"Fellowes Box, Wire Frame"
TEC/COP-003276,Technology,Copiers,"HP Fax Machine, Laser"
OFF/ART-001291,Office Supplies,Art,"Sanford Pens, Fluorescent"
FUR/BOO-000100,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish"
OFF/ART-001058,Office Supplies,Art,4009 Highlighters by Sanford
OFF/STO-002757,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers
OFF/SUP-002809,Office Supplies,Supplies,"Acme Trimmer, Easy Grip"
OFF/ART-001301,Office Supplies,Art,"Stanley Canvas, Blue"
FUR/BOO-000124,Furniture,Bookcases,"Safco Floating Shelf Set, Traditional"
OFF/BIN-001442,Office Supplies,Binders,"Cardinal Binder Covers, Recycled"
OFF/STO-002750,Office Supplies,Storage,"Tenex Shelving, Single Width"
FUR/FUR-000625,Office Supplies,Binders,Staples
OFF/ENV-001690,Office Supplies,Envelopes,Brown Kraft Recycled Envelopes
FUR/FUR-000625,Office Supplies,Envelopes,Staples
OFF/STO-002616,Office Supplies,Storage,Fellowes Stor/Drawer Steel Plus Storage Drawers
TEC/ACC-003130,Technology,Accessories,Plantronics S12 Corded Telephone Headset System
OFF/BIN-001418,Office Supplies,Binders,Avery Metallic Poly Binders
OFF/PAP-002373,Office Supplies,Paper,Xerox 1923
FUR/FUR-000640,Furniture,Furnishings,"Tenex Door Stop, Black"
OFF/STO-002714,Office Supplies,Storage,"Smead Trays, Blue"
FUR/CHA-000187,Furniture,Chairs,Global Highback Leather Tilter in Burgundy
OFF/PAP-002512,Office Supplies,Paper,"Xerox Message Books, Premium"
TEC/MAC-003466,Technology,Machines,"StarTech Card Printer, White"
TEC/PHO-003508,Technology,Phones,"Apple Headset, with Caller ID"
OFF/ENV-001758,Office Supplies,Envelopes,"Jiffy Mailers, Security-Tint"
FUR/BOO-000150,Furniture,Bookcases,Sauder Cornerstone Collection Library
FUR/BOO-000059,Furniture,Bookcases,"Dania Library with Doors, Traditional"
OFF/APP-000914,Office Supplies,Appliances,"Cuisinart Microwave, White"
OFF/LAB-002040,Office Supplies,Labels,"Harbour Creations Removable Labels, 5000 Label Set"
OFF/PAP-002211,Office Supplies,Paper,"Green Bar Computer Printout Paper, 8.5 x 11"
OFF/SUP-002820,Office Supplies,Supplies,"Elite Letter Opener, Easy Grip"
TEC/COP-003242,Technology,Copiers,"Hewlett Copy Machine, Laser"
FUR/CHA-000219,Furniture,Chairs,"Harbour Creations Rocking Chair, Adjustable"
OFF/ART-001284,Office Supplies,Art,"Sanford Markers, Fluorescent"
OFF/ART-001312,Office Supplies,Art,"Stanley Markers, Fluorescent"
FUR/CHA-000272,Furniture,Chairs,"Hon Swivel Stool, Set of Two"
TEC/ACC-003009,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling
FUR/FUR-000421,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame
OFF/BIN-001498,Office Supplies,Binders,GBC Linen Binding Covers
OFF/LAB-002099,Office Supplies,Labels,Round Specialty Laser Printer Labels
TEC/PHO-003532,Technology,Phones,AT&T 841000 Phone
OFF/ART-001115,Office Supplies,Art,"Binney & Smith Markers, Water Color"
OFF/STO-002597,Office Supplies,Storage,"Fellowes Folders, Blue"
OFF/STO-002730,Office Supplies,Storage,"Tenex Box, Industrial"
OFF/LAB-002073,Office Supplies,Labels,"Hon Shipping Labels, Laser Printer Compatible"
OFF/ART-001318,Office Supplies,Art,"Stanley Pens, Easy-Erase"
OFF/BIN-001540,Office Supplies,Binders,"Ibico Binder, Economy"
OFF/BIN-001446,Office Supplies,Binders,"Cardinal Binder, Recycled"
OFF/STO-002602,Office Supplies,Storage,"Fellowes Lockers, Blue"
OFF/FAS-001938,Office Supplies,Fasteners,"Stockwell Thumb Tacks, Bulk Pack"
OFF/BIN-001345,Office Supplies,Binders,"Acco Binding Machine, Economy"
OFF/FAS-001884,Office Supplies,Fasteners,"OIC Clamps, 12 Pack"
OFF/ENV-001719,Office Supplies,Envelopes,"GlobeWeis Business Envelopes, Recycled"
FUR/BOO-000081,Furniture,Bookcases,"Ikea Floating Shelf Set, Metal"
TEC/ACC-003142,Technology,Accessories,"SanDisk Flash Drive, Bluetooth"
TEC/MAC-003423,Technology,Machines,"Okidata Printer, Wireless"
OFF/APP-000943,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector
OFF/BIN-001622,Office Supplies,Binders,"Wilson Jones Binding Machine, Clear"
OFF/FAS-001916,Office Supplies,Fasteners,"Stockwell Clamps, Assorted Sizes"
TEC/ACC-002941,Technology,Accessories,"Belkin Mouse, USB"
TEC/COP-003200,Technology,Copiers,"Brother Ink, Laser"
FUR/BOO-000027,Furniture,Bookcases,"Bush Library with Doors, Mobile"
OFF/ART-001158,Office Supplies,Art,"Boston Pencil Sharpener, Water Color"
FUR/CHA-000330,Furniture,Chairs,"Office Star Rocking Chair, Red"
FUR/BOO-000015,Furniture,Bookcases,"Bush Classic Bookcase, Traditional"
OFF/STO-002581,Office Supplies,Storage,"Eldon Trays, Single Width"
OFF/STO-002587,Office Supplies,Storage,"Fellowes Box, Blue"
OFF/PAP-002225,Office Supplies,Paper,"Green Bar Note Cards, Premium"
OFF/LAB-002075,Office Supplies,Labels,"Novimex Color Coded Labels, Adjustable"
OFF/LAB-002093,Office Supplies,Labels,"Novimex Shipping Labels, 5000 Label Set"
OFF/APP-000913,Office Supplies,Appliances,"Cuisinart Microwave, Silver"
FUR/BOO-000096,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine
OFF/BIN-001515,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets"
OFF/ENV-001810,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White"
OFF/PAP-002300,Office Supplies,Paper,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page"
OFF/STO-002676,Office Supplies,Storage,"Rogers Shelving, Wire Frame"
FUR/CHA-000236,Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms
FUR/FUR-000497,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak"
FUR/TAB-000757,Furniture,Tables,"Chromcraft Conference Table, Fully Assembled"
OFF/ART-001247,Office Supplies,Art,Newell 351
OFF/ART-001220,Office Supplies,Art,Newell 327
OFF/BIN-001337,Office Supplies,Binders,"Acco Binder Covers, Economy"
OFF/SUP-002842,Office Supplies,Supplies,"Fiskars Box Cutter, Serrated"
TEC/PHO-003569,Technology,Phones,"Cisco Signal Booster, with Caller ID"
TEC/PHO-003510,Technology,Phones,Apple iPhone 5C
TEC/PHO-003518,Technology,Phones,"Apple Signal Booster, VoIP"
OFF/BIN-001490,Office Supplies,Binders,GBC DocuBind TL200 Manual Binding Machine
OFF/PAP-002323,Office Supplies,Paper,"Wirebound Service Call Books, 5 1/2"" x 4"""
OFF/ART-001298,Office Supplies,Art,"Sanford Sketch Pad, Water Color"
TEC/ACC-003113,Technology,Accessories,"Memorex Router, Programmable"
FUR/CHA-000329,Furniture,Chairs,"Office Star Rocking Chair, Black"
OFF/ENV-001709,Office Supplies,Envelopes,"Cameo Manila Envelope, Set of 50"
OFF/STO-002604,Office Supplies,Storage,"Fellowes Lockers, Single Width"
OFF/SUP-002863,Office Supplies,Supplies,"Fiskars Trimmer, High Speed"
FUR/FUR-000669,Furniture,Furnishings,Ultra Door Push Plate
FUR/FUR-000488,Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection
OFF/APP-000979,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter"
OFF/ART-001255,Office Supplies,Art,Panasonic KP-4ABK Battery-Operated Pencil Sharpener
OFF/BIN-001364,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red"
OFF/BIN-001595,Office Supplies,Binders,Storex Dura Pro Binders
OFF/STO-002559,Office Supplies,Storage,Eldon Fold 'N Roll Cart System
OFF/STO-002586,Office Supplies,Storage,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems
FUR/FUR-000382,Furniture,Furnishings,"Advantus Clock, Durable"
OFF/BIN-001343,Office Supplies,Binders,"Acco Binding Machine, Clear"
TEC/PHO-003756,Technology,Phones,"Samsung Headset, Cordless"
FUR/BOO-000155,Furniture,Bookcases,"Sauder Floating Shelf Set, Traditional"
OFF/STO-002717,Office Supplies,Storage,"Smead Trays, Wire Frame"
OFF/STO-002734,Office Supplies,Storage,"Tenex File Cart, Blue"
FUR/CHA-000297,Furniture,Chairs,"Novimex Steel Folding Chair, Red"
TEC/ACC-003149,Technology,Accessories,"SanDisk Keyboard, USB"
OFF/ART-001139,Office Supplies,Art,"Boston Canvas, Easy-Erase"
OFF/STO-002670,Office Supplies,Storage,"Rogers Lockers, Single Width"
OFF/ART-001105,Office Supplies,Art,"Binney & Smith Highlighters, Blue"
FUR/FUR-000668,Furniture,Furnishings,Ultra Door Pull Handle
OFF/FAS-001885,Office Supplies,Fasteners,"OIC Clamps, Assorted Sizes"
FUR/BOO-000045,Furniture,Bookcases,"Dania Classic Bookcase, Mobile"
FUR/CHA-000288,Furniture,Chairs,"Novimex Executive Leather Armchair, Red"
OFF/LAB-002031,Office Supplies,Labels,"Harbour Creations Color Coded Labels, Laser Printer Compatible"
OFF/PAP-002162,Office Supplies,Paper,"Eaton Memo Slips, 8.5 x 11"
OFF/SUP-002899,Office Supplies,Supplies,"Stiletto Box Cutter, High Speed"
FUR/CHA-000261,Furniture,Chairs,"Hon Rocking Chair, Adjustable"
OFF/APP-000893,Office Supplies,Appliances,"Breville Stove, Black"
TEC/PHO-003572,Technology,Phones,"Cisco Smart Phone, Full Size"
OFF/LAB-002024,Office Supplies,Labels,"Avery Shipping Labels, Laser Printer Compatible"
TEC/COP-003301,Technology,Copiers,"Sharp Fax Machine, Laser"
OFF/LAB-002019,Office Supplies,Labels,"Avery Round Labels, Alphabetical"
OFF/PAP-002402,Office Supplies,Paper,Xerox 195
FUR/FUR-000644,Furniture,Furnishings,"Tenex Frame, Black"
OFF/ART-001162,Office Supplies,Art,"Boston Pens, Water Color"
OFF/ENV-001788,Office Supplies,Envelopes,"Kraft Manila Envelope, with clear poly window"
OFF/ART-001152,Office Supplies,Art,"Boston Markers, Fluorescent"
TEC/ACC-003144,Technology,Accessories,"SanDisk Flash Drive, Programmable"
OFF/BIN-001413,Office Supplies,Binders,"Avery Hole Reinforcements, Recycled"
OFF/FAS-001872,Office Supplies,Fasteners,"Alliance Big Bands Rubber Bands, 12/Pack"
FUR/CHA-000318,Furniture,Chairs,"Office Star Bag Chairs, Set of Two"
FUR/CHA-000231,Furniture,Chairs,"Harbour Creations Swivel Stool, Set of Two"
OFF/LAB-002029,Office Supplies,Labels,"Harbour Creations Color Coded Labels, Adjustable"
OFF/PAP-002264,Office Supplies,Paper,"SanDisk Memo Slips, Multicolor"
OFF/ART-001313,Office Supplies,Art,"Stanley Markers, Water Color"
OFF/ENV-001740,Office Supplies,Envelopes,"GlobeWeis Peel and Seal, Security-Tint"
FUR/FUR-000394,Furniture,Furnishings,"Advantus Light Bulb, Duo Pack"
OFF/BIN-001443,Office Supplies,Binders,"Cardinal Binder, Clear"
OFF/ART-001159,Office Supplies,Art,"Boston Pens, Blue"
OFF/ART-001121,Office Supplies,Art,"Binney & Smith Pens, Fluorescent"
TEC/MAC-003443,Technology,Machines,"Panasonic Phone, Red"
OFF/PAP-002497,Office Supplies,Paper,"Xerox Cards & Envelopes, 8.5 x 11"
OFF/PAP-002161,Office Supplies,Paper,"Eaton Computer Printout Paper, Recycled"
OFF/ART-001096,Office Supplies,Art,"BIC Sketch Pad, Easy-Erase"
FUR/FUR-000615,Furniture,Furnishings,"Rubbermaid Stacking Tray, Erganomic"
OFF/ART-001081,Office Supplies,Art,"BIC Highlighters, Water Color"
OFF/BIN-001535,Office Supplies,Binders,"Ibico Binder Covers, Durable"
OFF/STO-002657,Office Supplies,Storage,"Rogers Box, Single Width"
OFF/SUP-002837,Office Supplies,Supplies,"Elite Trimmer, Serrated"
TEC/ACC-002977,Technology,Accessories,"Enermax Router, Erganomic"
FUR/BOO-000129,Furniture,Bookcases,"Safco Stackable Bookrack, Mobile"
OFF/BIN-001445,Office Supplies,Binders,"Cardinal Binder, Economy"
OFF/ENV-001773,Office Supplies,Envelopes,"Kraft Clasp Envelope, Recycled"
FUR/CHA-000287,Furniture,Chairs,"Novimex Executive Leather Armchair, Black"
FUR/CHA-000295,Furniture,Chairs,"Novimex Steel Folding Chair, Adjustable"
FUR/CHA-000352,Furniture,Chairs,"SAFCO Executive Leather Armchair, Adjustable"
OFF/APP-000949,Office Supplies,Appliances,"Hamilton Beach Blender, White"
OFF/LAB-002053,Office Supplies,Labels,"Hon Color Coded Labels, Alphabetical"
OFF/BIN-001335,Office Supplies,Binders,"Acco Binder Covers, Clear"
OFF/BIN-001390,Office Supplies,Binders,"Avery Binder, Economy"
TEC/ACC-003081,Technology,Accessories,"Memorex Flash Drive, Bluetooth"
OFF/BIN-001462,Office Supplies,Binders,"Cardinal Index Tab, Economy"
OFF/LAB-002096,Office Supplies,Labels,"Novimex Shipping Labels, Laser Printer Compatible"
TEC/COP-003284,Technology,Copiers,"HP Personal Copier, Laser"
TEC/MAC-003378,Technology,Machines,"Konica Inkjet, White"
OFF/LAB-002117,Office Supplies,Labels,"Smead Removable Labels, 5000 Label Set"
OFF/APP-001031,Office Supplies,Appliances,"KitchenAid Coffee Grinder, Silver"
OFF/FAS-001936,Office Supplies,Fasteners,"Stockwell Thumb Tacks, 12 Pack"
FUR/BOO-000132,Furniture,Bookcases,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray"
OFF/BIN-001608,Office Supplies,Binders,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders
OFF/ENV-001696,Office Supplies,Envelopes,"Cameo Clasp Envelope, Security-Tint"
TEC/MAC-003403,Technology,Machines,"Okidata Calculator, Durable"
FUR/FUR-000465,Furniture,Furnishings,"Deflect-O Stacking Tray, Black"
OFF/ART-001146,Office Supplies,Art,"Boston Highlighters, Fluorescent"
OFF/BIN-001458,Office Supplies,Binders,"Cardinal Hole Reinforcements, Economy"
OFF/SUP-002913,Office Supplies,Supplies,"Stiletto Scissors, Steel"
OFF/ENV-001772,Office Supplies,Envelopes,"Kraft Business Envelopes, Set of 50"
FUR/FUR-000509,Furniture,Furnishings,Eldon Image Series Black Desk Accessories
FUR/FUR-000555,Furniture,Furnishings,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack"
OFF/PAP-002248,Office Supplies,Paper,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages"
OFF/PAP-002203,Office Supplies,Paper,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream"
